date,index_code,open,close,low,high,volume,money,change
20020314,sh000300,1343.14,1376.33,1343.14,1343.14,1008738051.0,9892280409.0,0.0247115337367
20020315,sh000300,1376.33,1338.7,1376.33,1376.33,1132276488.0,11435663283.0,-0.0273386668449
20020318,sh000300,1338.7,1341.91,1338.7,1338.7,778650493.0,7563519755.0,0.00239411011562
20020319,sh000300,1341.91,1368.38,1341.91,1341.91,835809302.0,8427296368.0,0.0197264042888
20020320,sh000300,1368.38,1382.42,1368.38,1368.38,1103111148.0,11381058950.0,0.0102595920133
20020321,sh000300,1382.42,1385.79,1382.42,1382.42,1032570835.0,10091034472.0,0.00243992948582
20020322,sh000300,1385.79,1369.9,1385.79,1385.79,744810454.0,7194185063.0,-0.0114656621855
20020325,sh000300,1369.9,1373.01,1369.9,1369.9,570801010.0,5582676216.0,0.0022709670260900004
20020326,sh000300,1373.01,1350.01,1373.01,1373.01,609148881.0,6052760297.0,-0.0167536773167
20020327,sh000300,1350.01,1354.1,1350.01,1350.01,578275438.0,5350915657.0,0.00302886869643
20020328,sh000300,1354.1,1352.53,1354.1,1354.1,529342423.0,5299731086.0,-0.0011557509131500002
20020329,sh000300,1352.53,1313.47,1352.53,1352.53,674250614.0,6241689786.0,-0.0288843229703
20020401,sh000300,1313.47,1317.58,1313.47,1313.47,424176351.0,3839037130.0,0.00313140956827
20020402,sh000300,1317.58,1296.57,1317.58,1317.58,504818735.0,4735794373.0,-0.015942118081700003
20020403,sh000300,1296.57,1302.25,1296.57,1296.57,480366169.0,4644001729.0,0.0043761482183
20020404,sh000300,1302.25,1337.73,1302.25,1302.25,619396398.0,5996687781.0,0.0272451944637
20020405,sh000300,1337.73,1332.2,1337.73,1337.73,649163757.0,6190221947.0,-0.00413163214047
20020408,sh000300,1332.2,1333.71,1332.2,1332.2,417157682.0,4148167392.0,0.00112895876823
20020409,sh000300,1333.71,1357.74,1333.71,1333.71,807531736.0,7930200239.0,0.0180227261651
20020410,sh000300,1357.74,1366.72,1357.74,1357.74,795011935.0,7806137049.0,0.00660950313093
20020411,sh000300,1366.72,1344.73,1366.72,1366.72,651706682.0,6231134995.0,-0.0160838096576
20020412,sh000300,1344.73,1350.69,1344.73,1344.73,503830169.0,4933106925.0,0.00442838509326
20020415,sh000300,1350.69,1344.58,1350.69,1350.69,445429840.0,4213362243.0,-0.00452213647997
20020416,sh000300,1344.58,1341.5,1344.58,1344.58,401728499.0,4110154628.0,-0.00228993270022
20020417,sh000300,1341.5,1341.77,1341.5,1341.5,377405215.0,3696778708.0,0.000196794339479
20020418,sh000300,1341.77,1326.55,1341.77,1341.77,388192106.0,3744330851.0,-0.0113432595549
20020419,sh000300,1326.55,1330.64,1326.55,1326.55,546404472.0,5089529735.0,0.00308771802863
20020422,sh000300,1330.64,1324.87,1330.64,1330.64,417248081.0,3919836077.0,-0.00434001031081
20020423,sh000300,1324.87,1318.66,1324.87,1324.87,325977610.0,2985102681.0,-0.00468424377692
20020424,sh000300,1318.66,1309.73,1318.66,1318.66,339582190.0,3196521799.0,-0.0067750543923
20020425,sh000300,1309.73,1312.48,1309.73,1309.73,277906950.0,2670787532.0,0.00210425531427
20020426,sh000300,1312.48,1331.71,1312.48,1312.48,408335403.0,3924820234.0,0.0146523802594
20020429,sh000300,1331.71,1349.79,1331.71,1331.71,629737189.0,6015738164.0,0.0135697304376
20020430,sh000300,1349.79,1353.61,1349.79,1349.79,615688142.0,5834013459.0,0.00283156206359
20020508,sh000300,1353.61,1342.29,1353.61,1353.61,348642837.0,3221613618.0,-0.00835914707888
20020509,sh000300,1342.29,1344.78,1342.29,1342.29,413483083.0,3908969312.0,0.00185578100741
20020510,sh000300,1344.78,1335.45,1344.78,1344.78,378842862.0,3625475894.0,-0.0069394095553
20020513,sh000300,1335.45,1319.81,1335.45,1335.45,361290152.0,3357060293.0,-0.0117091529378
20020514,sh000300,1319.81,1311.68,1319.81,1319.81,335334438.0,3313979034.0,-0.00616298963339
20020515,sh000300,1311.68,1300.12,1311.68,1311.68,355206814.0,3428919063.0,-0.00881388753354
20020516,sh000300,1300.12,1261.52,1300.12,1300.12,508335021.0,4581635214.0,-0.0296872824718
20020517,sh000300,1261.52,1277.24,1261.52,1261.52,451107459.0,4158850448.0,0.0124555893595
20020520,sh000300,1277.24,1258.83,1277.24,1277.24,347591709.0,3253426363.0,-0.0144108171167
20020521,sh000300,1258.83,1298.88,1258.83,1258.83,729394226.0,7201722963.0,0.031814487909
20020522,sh000300,1298.88,1280.16,1298.88,1298.88,403562481.0,3985219676.0,-0.014410899253
20020523,sh000300,1280.16,1284.84,1280.16,1280.16,385356767.0,3674795394.0,0.00365266841645
20020524,sh000300,1284.84,1265.97,1284.84,1284.84,360522517.0,3367266730.0,-0.0146866993142
20020527,sh000300,1265.97,1270.34,1265.97,1265.97,247867087.0,2313476797.0,0.00345190945097
20020528,sh000300,1270.34,1270.38,1270.34,1270.34,293709938.0,2899976098.0,3.6210892236e-05
20020529,sh000300,1270.38,1246.02,1270.38,1270.38,344855997.0,3153938278.0,-0.0191776961575
20020530,sh000300,1246.02,1245.89,1246.02,1246.02,346720412.0,3190651972.0,-0.000106739945378
20020531,sh000300,1245.89,1238.58,1245.89,1245.89,291275785.0,2744497966.0,-0.00586650785064
20020603,sh000300,1238.58,1213.39,1238.58,1238.58,341758545.0,3008717484.0,-0.020337048080200003
20020604,sh000300,1213.39,1219.52,1213.39,1213.39,314545862.0,2872792317.0,0.00505609087942
20020605,sh000300,1219.52,1196.62,1219.52,1219.52,302532125.0,2606516390.0,-0.0187778336284
20020606,sh000300,1196.62,1245.61,1196.62,1196.62,582331140.0,5175251014.0,0.0409402125816
20020607,sh000300,1245.61,1252.51,1245.61,1245.61,691430884.0,6119764832.0,0.00554024404048
20020610,sh000300,1252.51,1243.74,1252.51,1252.51,372278954.0,3262494581.0,-0.0070027161373
20020611,sh000300,1243.74,1252.85,1243.74,1243.74,347156807.0,3052285068.0,0.007323056290569998
20020612,sh000300,1252.85,1246.84,1252.85,1252.85,299687887.0,2685276111.0,-0.004795462509109999
20020613,sh000300,1246.84,1235.57,1246.84,1246.84,305081965.0,2749065769.0,-0.00903963049077
20020614,sh000300,1235.57,1222.12,1235.57,1235.57,318085371.0,2691038170.0,-0.010888074511200002
20020617,sh000300,1222.12,1224.65,1222.12,1222.12,213323129.0,1866984710.0,0.00207426609029
20020618,sh000300,1224.65,1248.84,1224.65,1224.65,442049916.0,3847186830.0,0.0197468019539
20020619,sh000300,1248.84,1236.05,1248.84,1248.84,272130841.0,2323209310.0,-0.010239927228299998
20020620,sh000300,1236.05,1245.08,1236.05,1236.05,331972756.0,2792895445.0,0.007307153680800002
20020621,sh000300,1245.08,1288.52,1245.08,1245.08,1173814935.0,10114331942.0,0.0348900995196
20020624,sh000300,1288.52,1409.51,1288.52,1288.52,3709330358.0,34608711716.0,0.0938928477744
20020625,sh000300,1409.51,1409.23,1409.51,1409.51,3341035833.0,29993508679.0,-0.000197941830643
20020626,sh000300,1409.23,1417.31,1409.23,1409.23,1948280108.0,18655371368.0,0.0057343534677900005
20020627,sh000300,1417.31,1422.51,1417.31,1417.31,1597990678.0,14309506843.0,0.00367245769618
20020628,sh000300,1422.51,1431.18,1422.51,1422.51,2001206537.0,18526159316.0,0.00608993105155
20020701,sh000300,1431.18,1415.33,1431.18,1431.18,1335829471.0,12034346972.0,-0.0110713225147
20020702,sh000300,1415.33,1425.81,1415.33,1415.33,1062649835.0,9533905801.0,0.00740745974437
20020703,sh000300,1425.81,1427.39,1425.81,1425.81,994850763.0,8963976850.0,0.00110533351475
20020704,sh000300,1427.39,1412.62,1427.39,1427.39,1038822808.0,9305708730.0,-0.010349659168100002
20020705,sh000300,1412.62,1415.4,1412.62,1412.62,703453321.0,6200382269.0,0.00197222601738
20020708,sh000300,1415.4,1423.7,1415.4,1415.4,689218584.0,6433605703.0,0.00585910867788
