date,index_code,open,close,low,high,volume,money,change
20050104,sh000905,996.68,986.93,984.8,996.68,232380000.0,133000000.0,
20050105,sh000905,986.57,1003.63,985.68,1008.86,348610000.0,192000000.0,0.0169211595554
20050106,sh000905,1003.49,994.6,990.79,1003.49,293390000.0,163000000.0,-0.00899733965705
20050107,sh000905,993.43,997.61,990.45,1009.0,339160000.0,191000000.0,0.0030263422481400003
20050110,sh000905,996.93,1006.34,993.12,1006.46,294940000.0,165000000.0,0.0087509146861
20050111,sh000905,1006.21,1008.34,999.86,1009.5,313610000.0,178000000.0,0.00198739988473
20050112,sh000905,1008.01,1008.62,998.36,1008.74,319640000.0,183000000.0,0.00027768411448500003
20050113,sh000905,1008.1,1013.07,1005.35,1014.84,471570000.0,272000000.0,0.0044119688287
20050114,sh000905,1012.7,1000.17,999.27,1019.48,401690000.0,228000000.0,-0.0127335722112
20050117,sh000905,990.99,977.52,974.33,991.02,435860000.0,242000000.0,-0.0226461501545
20050118,sh000905,977.6,991.42,974.15,991.84,451610000.0,252000000.0,0.014219657909799998
20050119,sh000905,991.29,986.24,981.23,991.29,425520000.0,230000000.0,-0.0052248290331
20050120,sh000905,983.2,972.46,966.89,983.2,465200000.0,259000000.0,-0.0139722582738
20050121,sh000905,971.5,988.52,951.43,989.72,618530000.0,341000000.0,0.0165148180902
20050124,sh000905,1009.95,1008.18,998.37,1009.95,732340000.0,411000000.0,0.0198883178894
20050125,sh000905,1006.0,999.55,989.95,1006.0,469480000.0,265000000.0,-0.00855997936876
20050126,sh000905,997.64,987.96,985.67,997.64,411390000.0,224000000.0,-0.011595217848
20050127,sh000905,986.15,971.37,970.35,986.15,412320000.0,221000000.0,-0.016792177821
20050128,sh000905,971.37,952.41,949.11,971.94,407240000.0,211000000.0,-0.0195188239291
20050131,sh000905,948.44,922.65,921.58,948.44,409510000.0,206000000.0,-0.0312470469651
20050201,sh000905,919.8,913.33,911.93,929.69,419970000.0,208000000.0,-0.0101013385357
20050202,sh000905,913.03,964.24,913.03,964.42,655360000.0,352000000.0,0.055741079347
20050203,sh000905,963.75,945.31,944.76,967.94,637130000.0,348000000.0,-0.0196320418153
20050204,sh000905,944.45,962.03,943.47,963.81,519300000.0,287000000.0,0.0176873195037
20050216,sh000905,967.43,972.34,965.94,979.3,469330000.0,256000000.0,0.0107169215097
20050217,sh000905,971.84,977.27,964.32,977.44,403200000.0,208000000.0,0.00507024291914
20050218,sh000905,977.12,964.77,964.55,977.12,411280000.0,213000000.0,-0.0127907333695
20050221,sh000905,965.0,981.82,964.47,981.89,476520000.0,257000000.0,0.017672605906099998
20050222,sh000905,982.42,1007.69,980.51,1008.67,957580000.0,533000000.0,0.0263490252796
20050223,sh000905,1008.29,1019.26,1002.8,1023.33,1020180000.0,582000000.0,0.0114817056833
20050224,sh000905,1018.29,1024.45,1012.45,1024.87,868320000.0,487000000.0,0.0050919294390100005
20050225,sh000905,1024.57,1024.12,1023.74,1035.47,965080000.0,561000000.0,-0.000322124066573
20050228,sh000905,1023.19,1020.85,1014.94,1026.04,702810000.0,417000000.0,-0.003192985197050001
20050301,sh000905,1020.6,1021.16,1011.56,1023.96,667560000.0,380000000.0,0.000303668511535
20050302,sh000905,1021.36,1006.15,1005.34,1028.33,745800000.0,420000000.0,-0.0146989697991
20050303,sh000905,1004.1,1011.29,996.36,1011.7,537250000.0,299000000.0,0.00510858221935
20050304,sh000905,1011.2,1003.21,1001.85,1012.67,452520000.0,255000000.0,-0.00798979521206
20050307,sh000905,1004.34,1006.95,1001.86,1008.36,447510000.0,260000000.0,0.00372803301402
20050308,sh000905,1007.68,1029.46,1007.68,1029.46,718700000.0,450000000.0,0.0223546352848
20050309,sh000905,1031.6,1032.55,1024.89,1034.62,825780000.0,501000000.0,0.00300157364055
20050310,sh000905,1032.27,1005.55,1002.42,1032.27,710600000.0,426000000.0,-0.026148854777
20050311,sh000905,1003.78,1009.43,999.11,1010.86,595530000.0,368000000.0,0.00385858485406
20050314,sh000905,1009.18,1007.77,991.06,1016.54,755050000.0,484000000.0,-0.00164449243633
20050315,sh000905,1007.89,993.83,992.02,1007.89,649960000.0,405000000.0,-0.0138325213094
20050316,sh000905,992.64,983.92,977.13,992.64,531200000.0,320000000.0,-0.00997152430496
20050317,sh000905,983.11,970.97,970.34,984.25,531330000.0,318000000.0,-0.013161639157700002
20050318,sh000905,969.12,949.51,945.6,973.1,539390000.0,312000000.0,-0.0221016097305
20050321,sh000905,947.57,949.55,940.09,952.76,419220000.0,250000000.0,4.2126991817e-05
20050322,sh000905,948.78,922.56,918.09,949.07,579500000.0,328000000.0,-0.0284239903112
20050323,sh000905,921.07,923.19,914.54,937.68,529030000.0,312000000.0,0.000682882414152
20050324,sh000905,922.18,933.35,914.65,933.92,431920000.0,251000000.0,0.0110053185151
20050325,sh000905,933.17,931.42,927.18,936.13,418980000.0,227000000.0,-0.0020678202175
20050328,sh000905,930.17,922.92,909.17,930.17,401960000.0,216000000.0,-0.00912585085139
20050329,sh000905,922.66,916.81,916.65,929.46,369860000.0,200000000.0,-0.006620292116329999
20050330,sh000905,915.09,888.95,887.98,915.09,468950000.0,246000000.0,-0.0303879756983
20050331,sh000905,887.07,896.07,880.88,896.41,412560000.0,204000000.0,0.00800944935036
20050401,sh000905,895.23,927.55,884.63,934.55,692180000.0,367000000.0,0.0351311839477
20050404,sh000905,919.14,909.87,904.62,920.62,533380000.0,289000000.0,-0.0190609670638
20050405,sh000905,908.19,901.74,899.8,912.38,457250000.0,239000000.0,-0.00893534241155
20050406,sh000905,901.74,918.56,893.03,921.64,680500000.0,383000000.0,0.0186528267572
20050407,sh000905,919.24,932.33,917.63,945.57,954020000.0,535000000.0,0.0149908552517
