date,index_code,open,close,low,high,volume,money,change
20050104,sh000852,996.28,989.98,982.99,996.28,49473755.0,259589530.0,
20050105,sh000852,989.87,1013.58,988.57,1018.26,82266144.0,441803030.0,0.0238388654316
20050106,sh000852,1014.97,1005.47,1001.21,1014.97,73245401.0,386428390.0,-0.008001341778649999
20050107,sh000852,1005.52,1011.74,1001.1,1021.71,75824002.0,443201560.0,0.006235889683430001
20050110,sh000852,1011.93,1023.64,1007.8,1023.64,59692764.0,334380570.0,0.0117619151165
20050111,sh000852,1024.04,1027.16,1017.79,1027.16,78262585.0,422969880.0,0.0034387089211
20050112,sh000852,1026.74,1024.92,1014.77,1026.74,76247710.0,414983400.0,-0.00218077027922
20050113,sh000852,1024.13,1029.3,1020.67,1030.49,102111201.0,596290830.0,0.0042735042735
20050114,sh000852,1028.99,1011.88,1011.44,1034.59,86413352.0,489983010.0,-0.0169241231905
20050117,sh000852,1002.33,986.66,984.38,1002.33,92119216.0,523647610.0,-0.0249239040202
20050118,sh000852,985.67,1008.11,985.67,1008.48,99050423.0,501013300.0,0.0217400117568
20050119,sh000852,1007.11,1002.46,997.62,1008.22,116230013.0,579483560.0,-0.00560454712283
20050120,sh000852,999.93,989.44,982.42,999.93,110844545.0,574109080.0,-0.0129880493985
20050121,sh000852,987.43,1006.25,966.08,1007.92,166007430.0,854971960.0,0.0169894081501
20050124,sh000852,1028.01,1028.01,1016.09,1029.0,177842290.0,956858400.0,0.0216248447205
20050125,sh000852,1023.1,1015.1,1005.49,1023.1,129020495.0,684957950.0,-0.0125582435969
20050126,sh000852,1014.25,1006.84,1004.61,1015.13,120591910.0,644322040.0,-0.00813712934686
20050127,sh000852,1005.89,989.41,988.12,1005.89,115175726.0,587830230.0,-0.0173115887331
20050128,sh000852,989.41,963.01,960.24,989.41,107392800.0,533650460.0,-0.0266825683993
20050131,sh000852,954.94,924.17,923.13,954.94,114388661.0,568290190.0,-0.0403318760968
20050201,sh000852,917.3,905.8,905.21,929.22,110752514.0,553877860.0,-0.0198772953028
20050202,sh000852,904.13,958.39,904.13,959.99,152885860.0,785164710.0,0.0580591742106
20050203,sh000852,956.73,936.86,936.51,962.26,138602670.0,693933900.0,-0.0224647586056
20050204,sh000852,937.15,952.39,934.96,954.91,127717964.0,625729830.0,0.016576649659500002
20050216,sh000852,959.28,966.39,958.48,975.5,125149870.0,607772540.0,0.0146998603513
20050217,sh000852,966.04,973.81,957.8,973.81,112747945.0,532734950.0,0.007678059582569998
20050218,sh000852,973.19,964.01,963.76,974.21,107920254.0,523135980.0,-0.0100635647611
20050221,sh000852,963.58,983.61,963.58,983.69,131163055.0,667415490.0,0.0203317392973
20050222,sh000852,983.96,1015.66,982.76,1016.38,227720590.0,1264275070.0,0.0325840526225
20050223,sh000852,1016.77,1032.9,1010.43,1038.91,261375510.0,1538436200.0,0.0169741842743
20050224,sh000852,1031.75,1035.35,1023.3,1037.78,233797090.0,1364538300.0,0.0023719624358600005
20050225,sh000852,1034.54,1032.41,1032.32,1046.99,225667910.0,1328017350.0,-0.00283961945236
20050228,sh000852,1032.18,1029.38,1021.86,1034.46,173478560.0,1019363570.0,-0.00293488052227
20050301,sh000852,1028.61,1030.82,1018.99,1031.54,147051710.0,820164590.0,0.00139890030892
