固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
无形资产,17259864829.64,12903828919.09,10254056210.39,6846000789.86,6036486427.04,5162615318.20,4763525453.93,4598676824.05,3584155717.39,3206200135.73,834633227.68,627946328.46,102582549.98,104168992.55,106624716.44,109511390.80,112498065.16,115484739.52,118471417.88,0,0,0.0
开发支出,4061881.94,3412638.60,4300762.79,2808509.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
商誉,2854336295.90,3000684634.20,2683212306.68,325683332.52,290474815.45,40015660.82,41995660.82,41995660.82,43789375.42,43789375.42,41809375.42,0,0,0,0,0,0,0,0,0,0,0.0
长期待摊费用,25120596.48,23248559.75,25266543.72,38639814.87,42359517.01,13460449.37,5969030.77,11456825.70,14792998.74,36871740.00,16064210.54,16737154.39,1319179.79,1749571.17,1162532.22,1778041.22,1947460.22,4193262.64,2546579.00,0,0,0.0
递延所得税资产,146300241.32,127862607.17,107352709.83,42890213.95,46443106.17,43124024.49,30761899.81,33357075.31,28481010.29,26589674.35,22568461.06,0,0,0,0,0,0,0,0,0,0,0.0
其他非流动资产,668621437.57,270883234.34,252400459.81,201368959.73,64000000.00,810000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
非流动资产合计,41659860141.37,26317679288.48,22051407086.77,13866700823.97,14618157240.69,12386664372.36,10743135960.55,10348212847.62,8942754689.13,8691750350.16,8063656239.58,8367481689.80,6549961495.57,5891674309.71,4491010443.24,3515724761.85,3208903861.29,2269490401.87,1511802597.79,1370425237.84,1391818170.67,0.0
资产总计,50994308397.69,39635113975.14,36125200242.78,25174392377.67,24326631925.36,21954981393.82,19023561191.99,16841047964.12,14445183012.07,12902941288.13,11478660742.31,11052264062.63,8373464340.37,7157133819.19,5163032608.66,5981945844.66,5133953342.36,4996908292.75,1697982800.65,1422893281.40,1429128295.75,0.0
流动负债,,,,,,,,,,,,,,,,,,,,,,
短期借款,5248484368.00,1017619835.00,2765269322.40,3408834365.10,2480332080.00,2817940000.00,1337860000.00,803542971.09,1418458240.00,1415172838.27,1955710400.00,1642000000.00,550500000.00,1500000000.00,480000000.00,1300000000.00,550000000.00,400000000.00,45000000.00,20000000.00,20000000.00,0.0
交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
应付票据,0,359274.87,23566571.45,4640274.87,35000000.00,581204.41,0,20056559.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
应付账款,4067728582.15,1912483145.37,1353736805.59,869128696.27,748850334.71,1141967008.19,750729446.59,1041525569.61,343415804.82,278376759.12,95350384.67,103739175.58,51498778.66,16023436.86,3683148.74,2818883.18,2997571.97,2548627.43,2831804.97,4553634.67,3314528.95,0.0
预收款项,1234086252.60,1201926956.65,1152989327.71,927152844.17,885820809.55,854070688.08,775858429.00,845723722.20,320160409.79,174812514.55,163645344.89,130283996.37,40524514.00,23350727.61,10577879.04,5725156.72,7250881.03,5272798.25,4705037.95,0,0,0.0
应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
